Game||||||
33.|Morocco|Holland|1 - 1|../games/1994_brazil_sweden.php|1st Round, Group F|1994_group_f.php
34.|Belgium|Saudi Arabia|1 - 1|../games/1994_brazil_sweden.php|1st Round, Group F|1994_group_f.php
35.|Greece|Nigeria|1 - 1|../games/1994_brazil_sweden.php|1st Round, Group D|1994_group_d.php
36.|Argentina|Bulgaria|0 - 2|../games/1994_argentina_bulgaria.php|1st Round, Group D|1994_group_d.php
37.|Germany|Belgium|3 - 2|../games/1994_germany_belgium.php|1st Round, Group D|1994_group_d.php
38.|Spain|Switzerland|3 - 0|../games/1994_spain_switzerland.php|1st Round, Group D|1994_group_d.php
39.|Saudi Arabia|Sweden|1 - 3|../games/1994_saudi_arabia_sweden.php|1st Round, Group D|1994_group_d.php
40.|Romania|Argentina|3 - 2|../games/1994_romania_argentina.php|1st Round, Group D|1994_group_d.php
41.|Holland|Ireland|2 - 0|../games/1994_holland_ireland.php|1st Round, Group D|1994_group_d.php
42.|Brazil|USA|1 - 0|../games/1994_brazil_usa.php|1st Round, Group D|1994_group_d.php
43.|Nigeria|Italy|1 - 2|../games/1994_nigeria_italy.php|1st Round, Group D|1994_group_d.php
44.|Mexico|Bulgaria|1 - 1|../games/1994_mexico_bulgaria.php|1st Round, Group D|1994_group_d.php
45.|Italy|Spain|2 - 1|../games/1994_italy_spain.php|1st Round, Group D|1994_group_d.php
46.|Holland|Brazil|2 - 3|../games/1994_holland_brazil.php|1st Round, Group D|1994_group_d.php
47.|Bulgaria|Germany|2 - 1|../games/1994_bulgaria_germany.php|1st Round, Group D|1994_group_d.php
48.|Romania|Sweden|2 - 2|../games/1994_romania_sweden.php|1st Round, Group D|1994_group_d.php
49.|Bulgaria|Italy|1 - 2|../games/1994_bulgaria_italy.php|1st Round, Group D|1994_group_d.php
50.|Sweden|Brazil|0 - 1|../games/1994_sweden_brazil.php|1st Round, Group D|1994_group_d.php
51.|Sweden|Bulgaria|4 - 0|../games/1994_sweden_bulgaria.php|1st Round, Group D|1994_group_d.php
52.|Brazil|Italy|0 - 0|../games/1994_brazil_italy.php|1st Round, Group D|1994_group_d.php
Game||||||
1.|West Germany|Poland|||1st Round, Group 2|1978_group_2.php
2.|Argentina|Hungary|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 1|1978_group_1.php
3.|Italy|France|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 1|1978_group_1.php
4.|Tunisia|Mexico|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 2|1978_group_2.php
5.|Austria|Spain|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 3|1978_group_3.php
6.|Holland|Iran|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 4|1978_group_4.php
7.|Peru|Scotland|2 - 1|../games/1978_argentina_hungary.php|1st Round, Group 4|1978_group_4.php
8.|Sweden|Brazil|1 - 1|../games/1978_sweden_brazil.php|1st Round, Group 3|1978_group_3.php
9.|West Germany|Mexico|1 - 1|../games/1978_sweden_brazil.php|1st Round, Group 2|1978_group_2.php
10.|Argentina|France|2 - 1|../games/1978_argentina_france.php|1st Round, Group 1|1978_group_1.php
11.|Italy|Hungary|2 - 1|../games/1978_argentina_france.php|1st Round, Group 1|1978_group_1.php
12.|Poland|Tunisia|2 - 1|../games/1978_argentina_france.php|1st Round, Group 2|1978_group_2.php
13.|Austria|Sweden|2 - 1|../games/1978_argentina_france.php|1st Round, Group 3|1978_group_3.php
14.|Brazil|Spain|0 - 0|../games/1978_brazil_spain.php|1st Round, Group 3|1978_group_3.php
15.|Scotland|Iran|0 - 0|../games/1978_brazil_spain.php|1st Round, Group 4|1978_group_4.php
16.|Holland|Peru|0 - 0|../games/1978_brazil_spain.php|1st Round, Group 4|1978_group_4.php
17.|West Germany|Tunisia|0 - 0|../games/1978_brazil_spain.php|1st Round, Group 2|1978_group_2.php
18.|France|Hungary|0 - 0|../games/1978_brazil_spain.php|1st Round, Group 1|1978_group_1.php
19.|Italy|Argentina|1 - 0|../games/1978_italy_argentina.php|1st Round, Group 1|1978_group_1.php
20.|Poland|Mexico|1 - 0|../games/1978_italy_argentina.php|1st Round, Group 2|1978_group_2.php
21.|Brazil|Austria|1 - 0|../games/1978_brazil_austria.php|1st Round, Group 3|1978_group_3.php
22.|Scotland|Holland|1 - 0|../games/1978_brazil_austria.php|1st Round, Group 4|1978_group_4.php
23.|Spain|Sweden|1 - 0|../games/1978_brazil_austria.php|1st Round, Group 3|1978_group_3.php
24.|Peru|Iran|1 - 0|../games/1978_brazil_austria.php|1st Round, Group 4|1978_group_4.php
25.|West Germany|Italy|1 - 0|../games/1978_brazil_austria.php|2nd Round, Group A|1978_group_a.php
26.|Argentina|Poland|2 - 0|../games/1978_argentina_poland.php|2nd Round, Group B|1978_group_b.php
27.|Brazil|Peru|3 - 0|../games/1978_brazil_peru.php|2nd Round, Group B|1978_group_b.php
28.|Holland|Austria|3 - 0|../games/1978_brazil_peru.php|2nd Round, Group A|1978_group_a.php
29.|West Germany|Holland|3 - 0|../games/1978_brazil_peru.php|2nd Round, Group A|1978_group_a.php
30.|Argentina|Brazil|0 - 0|../games/1978_argentina_brazil.php|2nd Round, Group B|1978_group_b.php
31.|Italy|Austria|0 - 0|../games/1978_argentina_brazil.php|2nd Round, Group A|1978_group_a.php
32.|Poland|Peru|0 - 0|../games/1978_argentina_brazil.php|2nd Round, Group B|1978_group_b.php
33.|Argentina|Peru|6 - 0|../games/1978_argentina_peru.php|2nd Round, Group B|1978_group_b.php
34.|Austria|West Germany|6 - 0|../games/1978_argentina_peru.php|2nd Round, Group A|1978_group_a.php
35.|Brazil|Poland|3 - 1|../games/1978_brazil_poland.php|2nd Round, Group B|1978_group_b.php
36.|Holland|Italy|3 - 1|../games/1978_brazil_poland.php|2nd Round, Group A|1978_group_a.php
37.|Brazil|Italy|2 - 1|../games/1978_brazil_italy.php|2nd Round, Group A|1978_group_a.php
38.|Argentina|Holland|3 - 1|../games/1978_argentina_holland.php|2nd Round, Group A|1978_group_a.php
Game||||||
1.|Brazil|Scotland|2 - 1|../games/1998_brazil_scotland.php|1st Round, Group A|1998_group_a.php
2.|Morocco|Norway|2 - 1|../games/1998_brazil_scotland.php|1st Round, Group A|1998_group_a.php
3.|Cameroon|Austria|2 - 1|../games/1998_brazil_scotland.php|1st Round, Group B|1998_group_b.php
4.|Italy|Chile|2 - 2|../games/1998_italy_chile.php|1st Round, Group B|1998_group_b.php
5.|Saudi Arabia|Denmark|2 - 2|../games/1998_italy_chile.php|1st Round, Group C|1998_group_c.php
6.|France|South Africa|3 - 0|../games/1998_france_south_africa.php|1st Round, Group C|1998_group_c.php
7.|Paraguay|Bulgaria|3 - 0|../games/1998_france_south_africa.php|1st Round, Group D|1998_group_d.php
8.|Holland|Belgium|3 - 0|../games/1998_france_south_africa.php|1st Round, Group E|1998_group_e.php
9.|South Korea|Mexico|3 - 0|../games/1998_france_south_africa.php|1st Round, Group E|1998_group_e.php
10.|Spain|Nigeria|3 - 0|../games/1998_france_south_africa.php|1st Round, Group D|1998_group_d.php
11.|Jamaica|Croatia|3 - 0|../games/1998_france_south_africa.php|1st Round, Group H|1998_group_h.php
12.|FR of Yugoslavia|Iran|3 - 0|../games/1998_france_south_africa.php|1st Round, Group F|1998_group_f.php
13.|Argentina|Japan|1 - 0|../games/1998_argentina_japan.php|1st Round, Group H|1998_group_h.php
14.|Germany|USA|1 - 0|../games/1998_argentina_japan.php|1st Round, Group F|1998_group_f.php
15.|Romania|Colombia|1 - 0|../games/1998_argentina_japan.php|1st Round, Group G|1998_group_g.php
16.|England|Tunisia|2 - 0|../games/1998_england_tunisia.php|1st Round, Group G|1998_group_g.php
17.|Scotland|Norway|2 - 0|../games/1998_england_tunisia.php|1st Round, Group A|1998_group_a.php
18.|Brazil|Morocco|3 - 0|../games/1998_brazil_morocco.php|1st Round, Group A|1998_group_a.php
19.|Chile|Austria|1 - 1|../games/1998_chile_austria.php|1st Round, Group B|1998_group_b.php
20.|Italy|Cameroon|3 - 0|../games/1998_italy_cameroon.php|1st Round, Group B|1998_group_b.php
21.|France|Saudi Arabia|4 - 0|../games/1998_france_saudi_arabia.php|1st Round, Group C|1998_group_c.php
