Poland,Portugal,1,0,|Wlodimierz Smolarek   68' ,,http://thesoccerworldcups.com/games/1986_poland_portugal.php
Italy,USA,1,1,|Alberto Gilardino   22' | ,27'  Cristian Zaccardo   (own goal),http://thesoccerworldcups.com/games/2006_italy_usa.php
Uruguay,Yugoslavia,6,1,| |Pedro Cea   18' |Juan Anselmo   20' |Juan Anselmo   31' |Victoriano Iriarte   61' |Pedro Cea   67' |Pedro Cea   72' ,4'  Branislav Sekulic,http://thesoccerworldcups.com/games/1930_uruguay_yugoslavia.php
Slovakia,Italy,3,2,|Robert Vittek   25' |Robert Vittek   73' | |Kamil Kopunek   89' | ,81'  Antonio Di Natale90'+2'  Fabio Quagliarella,http://thesoccerworldcups.com/games/2010_slovakia_italy.php
Italy,Uruguay,2,0,|Salvatore Schillaci   65' |Aldo Serena   85' ,,http://thesoccerworldcups.com/games/1990_italy_uruguay.php
Germany,Italy,0,2,| | ,119'  Fabio Grosso121'  Alessandro Del Piero,http://thesoccerworldcups.com/games/2006_germany_italy.php
Argentina,Italy,1,1,|Rene Houseman   19' | ,35'  Roberto Perfumo   (own goal),http://thesoccerworldcups.com/games/1974_argentina_italy.php
Holland,Denmark,2,0,|Daniel Agger   (own goal) 46' |Dirk Kuyt   85' ,,http://thesoccerworldcups.com/games/2010_holland_denmark.php
Turkey,South Korea,7,0,|Mamat Suat   10' |Lefter Kucukandonyadis   18' |Mamat Suat   30' |Sargun Burhan   37' |Sargun Burhan   64' |Sargun Burhan   70' |Erol Keskin   76' ,,http://thesoccerworldcups.com/games/1954_turkey_south_korea.php
Argentina,England,0,1,| ,44'  David Beckham  (penalty),http://thesoccerworldcups.com/games/2002_argentina_england.php
Austria,Czechoslovakia,0,1,| ,31'  Michal Bilek  (penalty),http://thesoccerworldcups.com/games/1990_austria_czechoslovakia.php
England,Ireland,1,1,|Gary Lineker   9' | ,73'  Kevin Sheedy,http://thesoccerworldcups.com/games/1990_england_ireland.php
Iran,Angola,1,1,| |Sohrab Bakhtiarizadeh   75' ,60'   Abou Tarika,http://thesoccerworldcups.com/games/2006_iran_angola.php
Brazil,Austria,1,0,| Roberto Dinamite   40' ,,http://thesoccerworldcups.com/games/1978_brazil_austria.php
Argentina,Brazil,1,3,| | | |Ramon Diaz   89' ,11'   Zico66'   Serginho75'   Junior,http://thesoccerworldcups.com/games/1982_argentina_brazil.php
England,Egypt,1,0,|Mark Wright   58' ,,http://thesoccerworldcups.com/games/1990_england_egypt.php
Belgium,Spain,1,2,| |Patrick Vervoort   29' | ,26'   Michel  (penalty)38'  Alberto Gorriz,http://thesoccerworldcups.com/games/1990_belgium_spain.php
Argentina,Germany,0,4,| | | | ,3'  Thomas Mueller68'  Miroslav Klose74'  Arne Friedrich89'  Miroslav Klose,http://thesoccerworldcups.com/games/2010_argentina_germany.php
Czechoslovakia,Costa Rica,4,1,|Tomas Skuhravy   12' | |Tomas Skuhravy   63' |Lubos Kubik   75' |Tomas Skuhravy   82' ,54'  Ronald Gonzalez,http://thesoccerworldcups.com/games/1990_czechoslovakia_costa_rica.php
Paraguay,New Zealand,0,0,,,http://thesoccerworldcups.com/games/2010_paraguay_new_zealand.php
Uruguay,France,2,1,| |Pedro Rocha   26' |Julio Cortes   31' ,15'  Hector De Bourgoing  (penalty),http://thesoccerworldcups.com/games/1966_uruguay_france.php
USA,Czech Republic,0,3,| | | ,5'  Jan Koller36'  Tomas Rosicky76'  Tomas Rosicky,http://thesoccerworldcups.com/games/2006_usa_czech_republic.php
Cameroon,Romania,2,1,|Roger Milla   76' |Roger Milla   86' | ,88'  Gavril Balint,http://thesoccerworldcups.com/games/1990_cameroon_romania.php
Iraq,Belgium,1,2,| | |Ahmed Radhi   59' ,16'  Enzo Scifo21'  Nico Claesen  (penalty),http://thesoccerworldcups.com/games/1986_iraq_belgium.php
,,,,,,http://thesoccerworldcups.com/games/2006_croatia_australia.php
Uruguay,Mexico,0,0,,,http://thesoccerworldcups.com/games/1966_uruguay_mexico.php
North Korea,Chile,1,1,| |Seung Zin Pak   88' ,26'  Ruben Marcos  (penalty),http://thesoccerworldcups.com/games/1966_north_korea_chile.php
Brazil,USA,1,0,| Bebeto   72' ,,http://thesoccerworldcups.com/games/1994_brazil_usa.php
West Germany,Scotland,2,1,| |Rudi Voeller   22' |Klaus Allofs   50' ,18'  Gordon Strachan,http://thesoccerworldcups.com/games/1986_west_germany_scotland.php
Colombia,Tunisia,1,0,|Leider Preciado   82' ,,http://thesoccerworldcups.com/games/1998_colombia_tunisia.php
France,South Africa,3,0,|Christophe Dugarry   36' |Pierre Issa   (own goal) 77' |Thierry Henry   90'+2' ,,http://thesoccerworldcups.com/games/1998_france_south_africa.php
Italy,Chile,2,0,|Sandro Mazzola   8' |Paolo Barison   88' ,,http://thesoccerworldcups.com/games/1966_italy_chile.php
Soviet Union,Belgium,3,4,|Igor Belanov   27' | |Igor Belanov   70' | | | |Igor Belanov  (penalty)  111' ,56'  Enzo Scifo77'  Jan Ceulemans102'  Stephane Demol110'  Nico Claesen,http://thesoccerworldcups.com/games/1986_soviet_union_belgium.php
Uruguay,West Germany,1,1,|Antonio Alzamendi   4' | ,84'  Klaus Allofs,http://thesoccerworldcups.com/games/1986_uruguay_west_germany.php
England,West Germany,4,2,| |Geoff Hurst   18' |Martin Peters   78' | |Geoff Hurst   101' |Geoff Hurst   120' ,12'  Helmut Haller89'  Wolfgang Weber,http://thesoccerworldcups.com/games/1966_england_west_germany.php
Holland,Brazil,2,0,|Johan Neeskens   50' |Johan Cruyff   65' ,,http://thesoccerworldcups.com/games/1974_holland_brazil.php
Italy,France,1,1,| |Marco Materazzi   19' | Andrea Pirlo 
						,7'  Zinedine Zidane  (penalty),http://thesoccerworldcups.com/games/2006_italy_france.php
,,,,,,http://thesoccerworldcups.com/games/1958_wales_hungary.php
USA,England,1,0,|Joe Gaetjens   38' ,,http://thesoccerworldcups.com/games/1950_usa_england.php
Argentina,South Korea,4,1,|Chu Young Park   (own goal) 17' |Gonzalo Higuain   33' | |Gonzalo Higuain   76' |Gonzalo Higuain   80' ,45'+1'  Chung Yong Lee,http://thesoccerworldcups.com/games/2010_argentina_south_korea.php
West Germany,Italy,0,0,,,http://thesoccerworldcups.com/games/1962_west_germany_italy.php
